Category,Order Date,Sales Target,Segment
Furniture,4/16/2012,108.6,Corporate
Office Supplies,4/16/2012,9.14,Consumer
Office Supplies,4/16/2012,130.34,Corporate
Technology,4/16/2012,"2,155.83",Consumer
Technology,4/16/2012,104.53,Corporate
Office Supplies,4/17/2012,"1,507.41",Consumer
Technology,4/17/2012,"1,122.44",Consumer
Furniture,4/18/2012,94.23,Consumer
Furniture,4/18/2012,60.65,Corporate
Office Supplies,4/18/2012,223.19,Consumer
Office Supplies,4/18/2012,96.31,Corporate
Office Supplies,4/18/2012,857.76,Home Office
Technology,4/18/2012,99.05,Consumer
Technology,4/18/2012,334.22,Corporate
Office Supplies,4/19/2012,290.36,Consumer
Furniture,4/20/2012,577.52,Corporate
Office Supplies,4/20/2012,325.27,Consumer
Office Supplies,4/20/2012,12.31,Corporate
Technology,4/20/2012,311.01,Corporate
Furniture,4/21/2012,345.58,Consumer
Office Supplies,4/21/2012,19.17,Consumer
Technology,4/21/2012,404.16,Consumer
Office Supplies,4/22/2012,60.93,Consumer
Technology,4/22/2012,77.24,Consumer
Office Supplies,4/24/2012,22.61,Home Office
Furniture,4/25/2012,112.69,Consumer
Office Supplies,4/25/2012,704.57,Consumer
Office Supplies,4/25/2012,32.81,Corporate
Furniture,4/26/2012,"1,513.62",Consumer
Furniture,4/26/2012,66.49,Corporate
Office Supplies,4/26/2012,77.67,Consumer
Office Supplies,4/26/2012,112.07,Corporate
Technology,4/26/2012,290.14,Corporate
Furniture,4/27/2012,"1,381.61",Consumer
Office Supplies,4/27/2012,24.33,Consumer
Office Supplies,4/27/2012,44.95,Home Office
Technology,4/27/2012,"1,490.31",Consumer
Office Supplies,4/28/2012,41.53,Consumer
Office Supplies,4/28/2012,"3,999.70",Home Office
Office Supplies,4/29/2012,7.73,Home Office
Furniture,4/30/2012,71.7,Corporate
Furniture,4/30/2012,213.12,Home Office
Office Supplies,4/30/2012,40.31,Corporate
Technology,4/30/2012,900.21,Consumer
Technology,4/30/2012,204.08,Corporate
Furniture,5/1/2012,63.55,Corporate
Office Supplies,5/1/2012,71.87,Consumer
Office Supplies,5/1/2012,226.92,Corporate
Technology,5/1/2012,94.96,Corporate
Office Supplies,5/2/2012,8.5,Corporate
Technology,5/2/2012,140.95,Corporate
Furniture,5/3/2012,835.67,Consumer
Furniture,5/3/2012,592.63,Home Office
Office Supplies,5/3/2012,313.55,Consumer
Office Supplies,5/3/2012,13.57,Home Office
Technology,5/3/2012,360.16,Consumer
Furniture,5/4/2012,47.12,Corporate
Office Supplies,5/4/2012,128.45,Corporate
Technology,5/4/2012,993.66,Corporate
Furniture,5/7/2012,263.53,Consumer
Office Supplies,5/7/2012,54.84,Consumer
Furniture,5/8/2012,301.36,Consumer
Furniture,5/8/2012,7.35,Corporate
Office Supplies,5/8/2012,464.99,Consumer
Office Supplies,5/8/2012,41.35,Home Office
Technology,5/8/2012,"2,828.34",Consumer
Office Supplies,5/9/2012,45.88,Consumer
Office Supplies,5/10/2012,106.68,Home Office
Technology,5/10/2012,46.22,Consumer
Furniture,5/11/2012,197.73,Home Office
Furniture,5/12/2012,22.63,Consumer
Office Supplies,5/12/2012,213.29,Consumer
Technology,5/12/2012,828.94,Consumer
Office Supplies,5/13/2012,16,Home Office
Technology,5/13/2012,229.06,Home Office
Furniture,5/14/2012,"1,234.87",Corporate
Office Supplies,5/14/2012,"1,162.64",Consumer
Office Supplies,5/14/2012,502.03,Home Office
Office Supplies,5/15/2012,72.7,Corporate
Technology,5/16/2012,266.21,Home Office
Office Supplies,5/17/2012,88.84,Consumer
Office Supplies,5/17/2012,51.16,Corporate
Office Supplies,5/18/2012,10.32,Corporate
Furniture,5/20/2012,154.98,Consumer
Office Supplies,5/20/2012,5.57,Consumer
Office Supplies,5/21/2012,20.77,Consumer
Office Supplies,5/21/2012,53.11,Corporate
Office Supplies,5/22/2012,104.01,Consumer
Technology,5/22/2012,"3,336.65",Consumer
Furniture,5/23/2012,69.3,Home Office
Office Supplies,5/23/2012,149.45,Consumer
Office Supplies,5/23/2012,231,Corporate
Office Supplies,5/23/2012,756.95,Home Office
Furniture,5/24/2012,518.28,Consumer
Office Supplies,5/24/2012,8.27,Consumer
Furniture,5/25/2012,12.96,Home Office
Office Supplies,5/25/2012,718.87,Consumer
Office Supplies,5/25/2012,59.66,Corporate
Office Supplies,5/25/2012,128.31,Home Office
Technology,5/25/2012,600.77,Corporate
Furniture,5/26/2012,207.77,Consumer
Office Supplies,5/26/2012,160.27,Home Office
Technology,5/26/2012,379.56,Consumer
Technology,5/26/2012,166.26,Home Office
Office Supplies,5/28/2012,659.96,Consumer
Office Supplies,5/28/2012,6.1,Home Office
Technology,5/28/2012,41.85,Consumer
Furniture,5/29/2012,394.49,Corporate
Office Supplies,5/29/2012,662.75,Consumer
Office Supplies,5/29/2012,8.2,Corporate
Office Supplies,5/29/2012,76.55,Home Office
Office Supplies,5/30/2012,142.68,Consumer
Technology,5/30/2012,387.26,Consumer
Technology,5/30/2012,165.64,Home Office
Furniture,5/31/2012,"4,213.18",Consumer
Furniture,5/31/2012,61.04,Corporate
Furniture,5/31/2012,23.75,Home Office
Office Supplies,5/31/2012,300.24,Consumer
Office Supplies,5/31/2012,688.24,Corporate
Office Supplies,5/31/2012,7.18,Home Office
Office Supplies,6/1/2012,467.2,Consumer
Office Supplies,6/1/2012,50.85,Corporate
Office Supplies,6/1/2012,10.11,Home Office
Technology,6/1/2012,294.02,Consumer
Furniture,6/4/2012,33.87,Home Office
Office Supplies,6/4/2012,16.14,Consumer
Office Supplies,6/4/2012,28.31,Home Office
Technology,6/4/2012,"1,087.75",Consumer
Furniture,6/5/2012,"1,294.24",Corporate
Office Supplies,6/5/2012,9.4,Corporate
Office Supplies,6/7/2012,6.69,Corporate
Office Supplies,6/7/2012,49.64,Home Office
Furniture,6/8/2012,181.87,Corporate
Office Supplies,6/8/2012,123.09,Consumer
Office Supplies,6/8/2012,840.84,Corporate
Technology,6/8/2012,2.07,Consumer
Furniture,6/9/2012,326.93,Consumer
Office Supplies,6/9/2012,114.52,Consumer
Office Supplies,6/9/2012,99.53,Home Office
Technology,6/9/2012,181.03,Consumer
Furniture,6/11/2012,31.78,Consumer
Furniture,6/11/2012,"1,160.87",Corporate
Office Supplies,6/11/2012,137.46,Consumer
Office Supplies,6/11/2012,"1,708.70",Corporate
Technology,6/11/2012,55.31,Consumer
Technology,6/11/2012,227.12,Corporate
Furniture,6/12/2012,43.3,Consumer
Office Supplies,6/12/2012,46.59,Consumer
Office Supplies,6/12/2012,26.52,Home Office
Technology,6/12/2012,48.71,Consumer
Office Supplies,6/13/2012,39.19,Consumer
Office Supplies,6/13/2012,72.86,Corporate
Office Supplies,6/13/2012,38.62,Home Office
Technology,6/13/2012,809.97,Corporate
Technology,6/13/2012,62.54,Home Office
Furniture,6/14/2012,50.05,Home Office
Furniture,6/15/2012,425.21,Consumer
Office Supplies,6/15/2012,79.06,Consumer
Technology,6/15/2012,11.56,Consumer
Technology,6/15/2012,221.06,Corporate
Furniture,6/16/2012,201.32,Consumer
Office Supplies,6/16/2012,"3,361.56",Consumer
Technology,6/16/2012,124.6,Consumer
Furniture,6/18/2012,60.23,Consumer
Furniture,6/18/2012,656,Corporate
Furniture,6/18/2012,67.82,Home Office
Office Supplies,6/18/2012,615.21,Consumer
Office Supplies,6/18/2012,38.47,Corporate
Office Supplies,6/18/2012,23.34,Home Office
Technology,6/18/2012,505.41,Consumer
Furniture,6/19/2012,10.8,Consumer
Office Supplies,6/19/2012,210.56,Consumer
Office Supplies,6/19/2012,218.96,Home Office
Furniture,6/20/2012,226.72,Corporate
Technology,6/20/2012,118.39,Consumer
Technology,6/20/2012,128.5,Corporate
Technology,6/20/2012,281.59,Home Office
Technology,6/21/2012,92.86,Consumer
Furniture,6/22/2012,764.57,Home Office
Office Supplies,6/22/2012,"1,173.63",Consumer
Furniture,6/23/2012,27.42,Corporate
Office Supplies,6/23/2012,4.67,Consumer
Office Supplies,6/23/2012,147.72,Corporate
Technology,6/23/2012,568.76,Consumer
Technology,6/23/2012,64.5,Corporate
Furniture,6/25/2012,241,Consumer
Office Supplies,6/25/2012,453.46,Consumer
Office Supplies,6/25/2012,114.83,Home Office
Furniture,6/26/2012,366.23,Consumer
Office Supplies,6/26/2012,182.18,Consumer
Office Supplies,6/26/2012,45.64,Home Office
Technology,6/26/2012,933,Consumer
Technology,6/26/2012,36.45,Corporate
Furniture,6/28/2012,950.04,Corporate
Office Supplies,6/28/2012,19.74,Corporate
Office Supplies,6/28/2012,244.69,Home Office
Furniture,6/29/2012,124.19,Consumer
Office Supplies,6/29/2012,25.96,Consumer
Technology,6/29/2012,242.98,Home Office
Furniture,7/2/2012,869.59,Consumer
Furniture,7/2/2012,142.26,Corporate
Office Supplies,7/2/2012,604.34,Consumer
Office Supplies,7/2/2012,12.9,Corporate
Office Supplies,7/2/2012,17.11,Home Office
Technology,7/2/2012,77.21,Corporate
Furniture,7/3/2012,63.17,Consumer
Furniture,7/3/2012,428.78,Corporate
Office Supplies,7/3/2012,321.47,Consumer
Office Supplies,7/3/2012,6.18,Corporate
Office Supplies,7/4/2012,39.09,Home Office
Technology,7/4/2012,"1,110.96",Consumer
Furniture,7/5/2012,9.36,Corporate
Office Supplies,7/5/2012,33.13,Consumer
Office Supplies,7/5/2012,20.92,Corporate
Office Supplies,7/5/2012,18.43,Home Office
Technology,7/5/2012,30.28,Consumer
Furniture,7/6/2012,175.46,Consumer
Furniture,7/6/2012,152.8,Corporate
Furniture,7/6/2012,329.14,Home Office
Office Supplies,7/6/2012,533.11,Corporate
Technology,7/6/2012,113.7,Corporate
Office Supplies,7/8/2012,19.01,Consumer
Furniture,7/9/2012,187.42,Consumer
Office Supplies,7/9/2012,418.24,Consumer
Office Supplies,7/9/2012,183.5,Corporate
Technology,7/9/2012,771.7,Consumer
Office Supplies,7/10/2012,38.52,Consumer
Furniture,7/11/2012,643.5,Consumer
Furniture,7/11/2012,215.82,Corporate
Office Supplies,7/11/2012,139.52,Consumer
Office Supplies,7/11/2012,243.17,Corporate
Technology,7/11/2012,687.36,Corporate
Furniture,7/12/2012,422.68,Consumer
Office Supplies,7/12/2012,8.04,Consumer
Technology,7/12/2012,"1,503.65",Consumer
Furniture,7/13/2012,"2,027.59",Consumer
Office Supplies,7/13/2012,20.9,Consumer
Office Supplies,7/13/2012,33.44,Corporate
Office Supplies,7/13/2012,41.15,Home Office
Furniture,7/14/2012,552.59,Consumer
Office Supplies,7/14/2012,285.41,Consumer
Furniture,7/16/2012,"2,089.83",Corporate
Furniture,7/16/2012,150.98,Home Office
Office Supplies,7/16/2012,88.97,Corporate
Office Supplies,7/16/2012,147.28,Home Office
Technology,7/16/2012,509.92,Corporate
Furniture,7/17/2012,199.38,Consumer
Furniture,7/17/2012,231.92,Corporate
Office Supplies,7/17/2012,21.94,Corporate
Furniture,7/18/2012,6.94,Consumer
Office Supplies,7/18/2012,3.59,Consumer
Office Supplies,7/18/2012,6.05,Corporate
Technology,7/18/2012,570.68,Consumer
Office Supplies,7/19/2012,2.13,Consumer
Furniture,7/20/2012,"1,129.59",Consumer
Office Supplies,7/20/2012,389.51,Consumer
Technology,7/20/2012,"1,073.41",Consumer
Furniture,7/23/2012,114.65,Home Office
Office Supplies,7/23/2012,11.25,Consumer
Office Supplies,7/23/2012,63.42,Home Office
Furniture,7/24/2012,18.85,Home Office
Office Supplies,7/24/2012,231.9,Home Office
Technology,7/24/2012,305.05,Home Office
Furniture,7/25/2012,"1,355.12",Consumer
Furniture,7/25/2012,369.34,Corporate
Office Supplies,7/25/2012,19.47,Consumer
Office Supplies,7/25/2012,106.34,Corporate
Office Supplies,7/25/2012,26.43,Home Office
Technology,7/25/2012,648.92,Consumer
Furniture,7/26/2012,353.85,Consumer
Furniture,7/26/2012,290.32,Corporate
Office Supplies,7/26/2012,165.75,Consumer
Office Supplies,7/26/2012,122.28,Corporate
Technology,7/27/2012,29.97,Consumer
Furniture,7/30/2012,5.44,Consumer
Furniture,7/30/2012,163.67,Home Office
Office Supplies,7/30/2012,10.81,Consumer
Office Supplies,7/30/2012,53.14,Corporate
Technology,7/30/2012,178.44,Consumer
Furniture,7/31/2012,"1,090.78",Consumer
Office Supplies,7/31/2012,18.27,Consumer
Office Supplies,7/31/2012,57.32,Corporate
Technology,7/31/2012,"2,171.07",Consumer
Technology,7/31/2012,222.92,Corporate
Furniture,8/1/2012,"1,035.13",Home Office
Office Supplies,8/1/2012,6.72,Home Office
Furniture,8/2/2012,283.05,Consumer
Furniture,8/2/2012,95.44,Home Office
Office Supplies,8/2/2012,5.86,Consumer
Office Supplies,8/2/2012,8.48,Home Office
Technology,8/2/2012,547.23,Consumer
Technology,8/2/2012,322.25,Home Office
Furniture,8/5/2012,12.55,Corporate
Office Supplies,8/5/2012,58.47,Corporate
Furniture,8/6/2012,372.89,Corporate
Office Supplies,8/6/2012,131.95,Corporate
Furniture,8/7/2012,227.85,Consumer
Office Supplies,8/7/2012,121.68,Consumer
Office Supplies,8/7/2012,92.17,Corporate
Office Supplies,8/7/2012,20.3,Home Office
Technology,8/7/2012,455.37,Corporate
Furniture,8/8/2012,133.2,Consumer
Office Supplies,8/8/2012,590.71,Consumer
Technology,8/8/2012,84.79,Consumer
Furniture,8/9/2012,374.97,Consumer
Furniture,8/9/2012,626.15,Corporate
Furniture,8/9/2012,632.41,Home Office
Office Supplies,8/9/2012,"1,215.94",Consumer
Office Supplies,8/9/2012,186.74,Corporate
Technology,8/9/2012,"1,336.09",Consumer
Office Supplies,8/10/2012,186.33,Consumer
Office Supplies,8/10/2012,79.44,Home Office
Technology,8/10/2012,497.35,Consumer
Furniture,8/11/2012,45.23,Consumer
Office Supplies,8/11/2012,11,Home Office
Technology,8/11/2012,149.04,Home Office
Furniture,8/13/2012,28.72,Consumer
Office Supplies,8/13/2012,395.87,Consumer
Office Supplies,8/13/2012,115.48,Corporate
Furniture,8/15/2012,114.65,Consumer
Office Supplies,8/15/2012,67.45,Consumer
Office Supplies,8/15/2012,306.95,Corporate
Furniture,8/16/2012,289.41,Consumer
Furniture,8/16/2012,251.81,Corporate
Office Supplies,8/16/2012,321.25,Consumer
Office Supplies,8/16/2012,27.13,Corporate
Technology,8/16/2012,"1,955.16",Consumer
Technology,8/16/2012,512.4,Corporate
Office Supplies,8/17/2012,46.56,Consumer
Office Supplies,8/17/2012,47.5,Corporate
Technology,8/17/2012,285.71,Consumer
Furniture,8/21/2012,"1,319.82",Corporate
Furniture,8/21/2012,522.25,Home Office
Office Supplies,8/21/2012,130.91,Corporate
Office Supplies,8/21/2012,940.01,Home Office
Technology,8/21/2012,22.16,Home Office
Office Supplies,8/22/2012,44.6,Corporate
Office Supplies,8/22/2012,16.19,Home Office
Office Supplies,8/23/2012,"1,016.89",Consumer
Technology,8/23/2012,254.43,Consumer
Furniture,8/24/2012,905.68,Consumer
Furniture,8/24/2012,287.21,Corporate
Office Supplies,8/24/2012,"1,892.95",Consumer
Technology,8/24/2012,"3,510.67",Consumer
Technology,8/24/2012,24.44,Corporate
Furniture,8/25/2012,28.26,Consumer
Furniture,8/25/2012,38.34,Home Office
Office Supplies,8/25/2012,4.06,Consumer
Office Supplies,8/25/2012,113.38,Home Office
Office Supplies,8/27/2012,577.73,Consumer
Office Supplies,8/27/2012,5.41,Home Office
Furniture,8/28/2012,302.47,Consumer
Furniture,8/28/2012,87.96,Corporate
Office Supplies,8/28/2012,"1,629.28",Consumer
Office Supplies,8/28/2012,484.47,Corporate
Technology,8/28/2012,38.86,Consumer
Technology,8/28/2012,"3,938.92",Corporate
Technology,8/29/2012,266.22,Home Office
Furniture,8/31/2012,"1,537.30",Corporate
Office Supplies,8/31/2012,61.82,Consumer
Office Supplies,8/31/2012,126.26,Corporate
Office Supplies,8/31/2012,23.06,Home Office
Technology,8/31/2012,293.08,Corporate
Technology,8/31/2012,555.96,Home Office
Furniture,9/1/2012,168.44,Home Office
Office Supplies,9/1/2012,17.59,Consumer
Office Supplies,9/1/2012,"1,323.70",Home Office
Technology,9/1/2012,835.19,Consumer
Furniture,9/3/2012,209.57,Corporate
Furniture,9/3/2012,130.86,Home Office
Office Supplies,9/3/2012,793.1,Consumer
Office Supplies,9/3/2012,539.41,Corporate
Office Supplies,9/3/2012,5.67,Home Office
Technology,9/3/2012,247.84,Corporate
Office Supplies,9/4/2012,305.53,Consumer
Office Supplies,9/4/2012,18.29,Corporate
Technology,9/4/2012,607.55,Consumer
Technology,9/4/2012,116.91,Corporate
Furniture,9/5/2012,746.8,Consumer
Furniture,9/5/2012,6.47,Corporate
Furniture,9/5/2012,65.24,Home Office
Office Supplies,9/5/2012,27.31,Consumer
Office Supplies,9/5/2012,32.42,Corporate
Office Supplies,9/5/2012,94.35,Home Office
Furniture,9/6/2012,80.82,Consumer
Furniture,9/6/2012,458.95,Home Office
Office Supplies,9/6/2012,57.89,Corporate
Office Supplies,9/6/2012,9.54,Home Office
Technology,9/6/2012,395.83,Corporate
Furniture,9/7/2012,74.18,Consumer
Furniture,9/7/2012,500.42,Corporate
Office Supplies,9/7/2012,651.6,Consumer
Office Supplies,9/7/2012,243.55,Corporate
Technology,9/7/2012,873.14,Corporate
Technology,9/7/2012,554.33,Home Office
Furniture,9/8/2012,18.8,Corporate
Office Supplies,9/8/2012,64.87,Consumer
Furniture,9/10/2012,583.67,Corporate
Office Supplies,9/10/2012,370.99,Consumer
Office Supplies,9/10/2012,296.48,Corporate
Furniture,9/11/2012,230.61,Corporate
Furniture,9/11/2012,9.72,Home Office
Office Supplies,9/11/2012,208.99,Consumer
Office Supplies,9/11/2012,"1,217.90",Corporate
Office Supplies,9/11/2012,359.32,Home Office
Technology,9/11/2012,17.79,Corporate
Office Supplies,9/12/2012,214.09,Consumer
Technology,9/12/2012,451.77,Consumer
Furniture,9/13/2012,"1,834.36",Consumer
Furniture,9/13/2012,"1,134.67",Corporate
Office Supplies,9/13/2012,81.13,Consumer
Office Supplies,9/13/2012,213.61,Corporate
Technology,9/13/2012,191.96,Consumer
Furniture,9/14/2012,794.09,Consumer
Furniture,9/14/2012,183.75,Corporate
Office Supplies,9/14/2012,"1,260.91",Consumer
Office Supplies,9/14/2012,23.05,Home Office
Technology,9/14/2012,897.58,Consumer
Furniture,9/15/2012,"1,617.17",Consumer
Furniture,9/15/2012,119.24,Corporate
Office Supplies,9/15/2012,200.12,Consumer
Office Supplies,9/15/2012,295.17,Corporate
Technology,9/15/2012,53.37,Consumer
Office Supplies,9/16/2012,29.88,Consumer
Furniture,9/17/2012,"9,254.42",Consumer
Furniture,9/17/2012,23.91,Corporate
Furniture,9/17/2012,371.76,Home Office
Office Supplies,9/17/2012,429.97,Consumer
Office Supplies,9/17/2012,30.67,Corporate
Office Supplies,9/17/2012,27.86,Home Office
Technology,9/17/2012,994.09,Consumer
Furniture,9/18/2012,22.45,Corporate
Office Supplies,9/18/2012,549.72,Consumer
Office Supplies,9/18/2012,718.41,Corporate
Office Supplies,9/18/2012,16.69,Home Office
Technology,9/18/2012,"2,551.35",Corporate
Furniture,9/19/2012,117.89,Home Office
Office Supplies,9/19/2012,21.12,Corporate
Office Supplies,9/19/2012,7.31,Home Office
Technology,9/19/2012,274.26,Consumer
Technology,9/19/2012,67.02,Corporate
Office Supplies,9/20/2012,"1,610.19",Consumer
Office Supplies,9/20/2012,87.56,Corporate
Furniture,9/21/2012,"1,622.44",Consumer
Furniture,9/21/2012,185.3,Corporate
Furniture,9/21/2012,"1,143.69",Home Office
Office Supplies,9/21/2012,"1,328.08",Consumer
Office Supplies,9/21/2012,24.43,Corporate
Office Supplies,9/21/2012,7.9,Home Office
Technology,9/21/2012,810.61,Consumer
Technology,9/21/2012,"1,196.32",Corporate
Technology,9/21/2012,507.31,Home Office
Furniture,9/22/2012,223.01,Consumer
Furniture,9/22/2012,52.78,Home Office
Office Supplies,9/22/2012,57.27,Consumer
Office Supplies,9/22/2012,67.58,Corporate
Office Supplies,9/22/2012,748.15,Home Office
Technology,9/22/2012,611.8,Consumer
Furniture,9/24/2012,450.23,Consumer
Furniture,9/24/2012,12.97,Corporate
Furniture,9/24/2012,"1,225.05",Home Office
Office Supplies,9/24/2012,213.03,Consumer
Office Supplies,9/24/2012,"1,060.12",Corporate
Office Supplies,9/24/2012,16.76,Home Office
Technology,9/24/2012,50.74,Consumer
Technology,9/24/2012,715.09,Home Office
Furniture,9/25/2012,"1,181.63",Consumer
Furniture,9/25/2012,291.78,Corporate
Office Supplies,9/25/2012,258.83,Consumer
Office Supplies,9/25/2012,33.04,Corporate
Office Supplies,9/25/2012,12.29,Home Office
Technology,9/25/2012,"1,155.28",Corporate
Technology,9/25/2012,172.32,Home Office
Office Supplies,9/26/2012,450.5,Consumer
Office Supplies,9/26/2012,795.72,Corporate
Office Supplies,9/26/2012,194.29,Home Office
Technology,9/26/2012,"2,225.63",Consumer
Technology,9/26/2012,253.4,Corporate
Furniture,9/27/2012,26.72,Consumer
Office Supplies,9/27/2012,146.18,Consumer
Office Supplies,9/27/2012,150.01,Corporate
Office Supplies,9/27/2012,175.29,Home Office
Technology,9/27/2012,"2,059.07",Consumer
Office Supplies,9/28/2012,321,Consumer
Office Supplies,9/28/2012,377.83,Corporate
Technology,9/28/2012,307.98,Consumer
Technology,9/28/2012,34.21,Corporate
Office Supplies,10/1/2012,2.93,Consumer
Office Supplies,10/1/2012,129.66,Corporate
Office Supplies,10/1/2012,22.9,Home Office
Technology,10/1/2012,586.15,Consumer
Technology,10/1/2012,336.94,Home Office
Furniture,10/2/2012,11.8,Consumer
Office Supplies,10/2/2012,108.3,Consumer
Office Supplies,10/2/2012,216.55,Corporate
Office Supplies,10/2/2012,236.06,Home Office
Technology,10/2/2012,501.3,Consumer
Technology,10/2/2012,86.4,Corporate
Furniture,10/3/2012,140.54,Consumer
Office Supplies,10/3/2012,33.67,Consumer
Office Supplies,10/3/2012,13.06,Corporate
Technology,10/3/2012,65.51,Consumer
Furniture,10/4/2012,408.66,Corporate
Furniture,10/4/2012,66.89,Home Office
Office Supplies,10/4/2012,29.66,Consumer
Office Supplies,10/4/2012,20.53,Home Office
Furniture,10/5/2012,389.63,Consumer
Office Supplies,10/5/2012,66.69,Corporate
Office Supplies,10/5/2012,67.54,Home Office
Technology,10/5/2012,296.7,Consumer
Furniture,10/8/2012,126.93,Consumer
Furniture,10/8/2012,61.86,Corporate
Office Supplies,10/8/2012,3.44,Consumer
Furniture,10/9/2012,421.17,Consumer
Office Supplies,10/9/2012,408.89,Consumer
Office Supplies,10/9/2012,81.25,Corporate
Technology,10/9/2012,613,Consumer
Technology,10/9/2012,701.04,Corporate
Furniture,10/10/2012,333.17,Corporate
Office Supplies,10/10/2012,"1,610.59",Consumer
Office Supplies,10/10/2012,84.05,Corporate
Furniture,10/11/2012,976.73,Consumer
Office Supplies,10/11/2012,20.13,Consumer
Technology,10/11/2012,29.71,Consumer
Furniture,10/12/2012,228.54,Consumer
Furniture,10/12/2012,"1,464.47",Home Office
Office Supplies,10/12/2012,82.23,Consumer
Office Supplies,10/12/2012,66,Home Office
Technology,10/12/2012,388.35,Consumer
Technology,10/12/2012,61.71,Home Office
Furniture,10/13/2012,316.73,Consumer
Technology,10/13/2012,71.16,Consumer
Furniture,10/15/2012,"2,653.98",Consumer
Office Supplies,10/15/2012,5.18,Consumer
Office Supplies,10/15/2012,9.27,Home Office
Technology,10/15/2012,277.07,Consumer
Technology,10/15/2012,295.77,Home Office
Technology,10/16/2012,734.22,Corporate
Office Supplies,10/17/2012,85.67,Consumer
Furniture,10/18/2012,9.1,Consumer
Office Supplies,10/18/2012,19.38,Consumer
Office Supplies,10/18/2012,70.97,Home Office
Technology,10/18/2012,244.59,Consumer
Technology,10/18/2012,29.36,Home Office
Office Supplies,10/19/2012,38.33,Consumer
Office Supplies,10/19/2012,35.6,Corporate
Office Supplies,10/19/2012,"1,739.14",Home Office
Technology,10/19/2012,140.95,Corporate
Technology,10/19/2012,232.2,Home Office
Furniture,10/20/2012,386.79,Consumer
Furniture,10/20/2012,15.54,Corporate
Office Supplies,10/20/2012,21.37,Consumer
Technology,10/20/2012,244.77,Corporate
Office Supplies,10/22/2012,16.19,Consumer
Furniture,10/23/2012,"1,313.36",Consumer
Office Supplies,10/23/2012,138.52,Consumer
Office Supplies,10/23/2012,3.3,Corporate
Technology,10/23/2012,761.8,Consumer
Furniture,10/24/2012,368.2,Corporate
Furniture,10/24/2012,440.64,Home Office
Office Supplies,10/24/2012,22.81,Corporate
Office Supplies,10/24/2012,3.23,Home Office
Furniture,10/25/2012,243.05,Consumer
Furniture,10/25/2012,812.3,Corporate
Office Supplies,10/25/2012,132.82,Consumer
Technology,10/25/2012,138.32,Corporate
Office Supplies,10/26/2012,"1,086.72",Corporate
Technology,10/26/2012,162.1,Corporate
Furniture,10/28/2012,56.64,Consumer
Office Supplies,10/28/2012,48.72,Consumer
Office Supplies,10/29/2012,234.47,Corporate
Furniture,10/30/2012,14.4,Corporate
Office Supplies,10/30/2012,160.96,Consumer
Technology,10/30/2012,"1,477.61",Corporate
Technology,10/30/2012,260.91,Home Office
Furniture,10/31/2012,748.97,Consumer
Office Supplies,10/31/2012,660.11,Consumer
Office Supplies,10/31/2012,436.46,Corporate
Office Supplies,10/31/2012,76.43,Home Office
Technology,10/31/2012,"1,153.30",Consumer
Furniture,11/1/2012,952.12,Consumer
Office Supplies,11/1/2012,21.4,Consumer
Office Supplies,11/1/2012,2.91,Home Office
Technology,11/1/2012,"2,024.71",Consumer
Technology,11/1/2012,4.41,Corporate
Technology,11/1/2012,30.41,Home Office
Furniture,11/2/2012,"1,547.10",Consumer
Furniture,11/2/2012,"2,332.98",Home Office
Office Supplies,11/2/2012,304.26,Consumer
Office Supplies,11/2/2012,25.85,Corporate
Technology,11/2/2012,421.05,Consumer
Technology,11/2/2012,344.7,Corporate
Furniture,11/3/2012,"1,448.82",Corporate
Furniture,11/3/2012,46.01,Home Office
Office Supplies,11/3/2012,6.48,Corporate
Technology,11/3/2012,"1,315.85",Home Office
Furniture,11/5/2012,186.3,Corporate
Office Supplies,11/5/2012,596.5,Consumer
Office Supplies,11/5/2012,23.32,Corporate
Office Supplies,11/6/2012,12.51,Consumer
Furniture,11/7/2012,772.36,Consumer
Furniture,11/7/2012,196.44,Corporate
Office Supplies,11/7/2012,359.24,Consumer
Office Supplies,11/7/2012,"1,305.95",Corporate
Technology,11/7/2012,244.72,Consumer
Furniture,11/8/2012,250.7,Consumer
Furniture,11/8/2012,"4,549.27",Corporate
Office Supplies,11/8/2012,545.77,Consumer
Office Supplies,11/8/2012,145.01,Corporate
Office Supplies,11/8/2012,4.95,Home Office
Technology,11/8/2012,597.86,Consumer
Technology,11/8/2012,"5,245.72",Corporate
Technology,11/8/2012,316.17,Home Office
Furniture,11/9/2012,911.7,Consumer
Office Supplies,11/9/2012,325.63,Consumer
Office Supplies,11/9/2012,33.65,Home Office
Technology,11/9/2012,923.07,Consumer
Technology,11/9/2012,"2,298.68",Home Office
Furniture,11/10/2012,26.01,Home Office
Office Supplies,11/10/2012,635.34,Consumer
Office Supplies,11/10/2012,785.73,Corporate
Office Supplies,11/10/2012,"1,474.90",Home Office
Technology,11/10/2012,83.9,Consumer
Technology,11/10/2012,467.49,Home Office
Office Supplies,11/11/2012,558.44,Corporate
Furniture,11/12/2012,676.76,Corporate
Office Supplies,11/12/2012,14.63,Consumer
Office Supplies,11/12/2012,351.83,Corporate
Technology,11/12/2012,91.72,Corporate
Furniture,11/13/2012,"1,665.64",Consumer
Furniture,11/13/2012,63.34,Home Office
Office Supplies,11/13/2012,552.19,Consumer
Technology,11/13/2012,826.29,Consumer
Technology,11/13/2012,295.77,Home Office
